number,value,datetime_start,datetime_complete,duration,params_poisson_ratio,params_youngs_modulus,system_attrs_cma:generation,system_attrs_cma:large_n_eval,system_attrs_cma:n_restarts,system_attrs_cma:n_restarts_with_large,system_attrs_cma:optimizer:0,system_attrs_cma:optimizer:1,system_attrs_cma:popsize,system_attrs_cma:poptype,system_attrs_cma:small_n_eval,state
0,103.86553244257041,2024-08-18 00:00:33.342552,2024-08-18 00:01:02.643650,0 days 00:00:29.301098,0.40937106186272443,0.07939297684818131,,,,,,,,,,COMPLETE
1,217.84985500791555,2024-08-18 00:01:02.736720,2024-08-18 00:01:31.976225,0 days 00:00:29.239505,0.40424015934607244,0.38884811668328106,0.0,0.0,0.0,0.0,,,6.0,small,0.0,COMPLETE
2,85.91500257780918,2024-08-18 00:01:32.066299,2024-08-18 00:01:59.436420,0 days 00:00:27.370121,0.3965847819383369,0.26251771989110095,0.0,0.0,0.0,0.0,,,6.0,small,0.0,COMPLETE
3,161.0185654478321,2024-08-18 00:01:59.514853,2024-08-18 00:02:28.380766,0 days 00:00:28.865913,0.40072802395639445,0.3347708988594699,0.0,0.0,0.0,0.0,,,6.0,small,0.0,COMPLETE
4,113.84183403453252,2024-08-18 00:02:28.465555,2024-08-18 00:02:55.575717,0 days 00:00:27.110162,0.3922456601570318,0.29052647913046553,0.0,0.0,0.0,0.0,,,6.0,small,0.0,COMPLETE
5,133.15132533298623,2024-08-18 00:02:55.654815,2024-08-18 00:03:22.624119,0 days 00:00:26.969304,0.40429870558607706,0.3070519106278842,0.0,0.0,0.0,0.0,,,6.0,small,0.0,COMPLETE
6,,2024-08-18 00:03:22.721253,2024-08-18 00:03:52.200030,0 days 00:00:29.478777,0.38864080960753744,0.2625703126790528,0.0,0.0,0.0,0.0,,,6.0,small,0.0,FAIL
7,21.01032772023496,2024-08-18 00:03:52.282934,2024-08-18 00:04:21.553855,0 days 00:00:29.270921,0.40843071946917175,0.19534980655909823,0.0,0.0,0.0,0.0,,,6.0,small,0.0,COMPLETE
8,46.786668436238884,2024-08-18 00:04:21.632541,2024-08-18 00:04:48.898129,0 days 00:00:27.265588,0.4321037262156069,0.21820193716605063,1.0,0.0,0.0,0.0,8004954e060000000000008c0a636d6165732e5f636d61948c03434d419493942981947d94288c065f6e5f64696d944b028c085f706f7073697a65944b068c035f6d75944b038c075f6d755f656666948c166e756d70792e5f636f72652e6d756c74696172726179948c067363616c61729493948c056e756d7079948c0564747970659493948c02663894898887945294284b038c013c944e4e4e4affffffff4affffffff4b007494624308b753c6a5983a004094869452948c035f636394680b68114308cf08f6cc59fce33f94869452948c035f633194680b68114308f572bcb3fdd0c33f94869452948c045f636d7594680b68114308031b52bcb49fad3f94869452948c085f635f7369676d6194680b681143089886065d9f8edc3f94869452948c085f645f7369676d6194680b68114308a6a141d7a723f73f94869452948c035f636d944b018c065f6368695f6e94473ff411804baabfb48c085f776569676874739468098c0c5f7265636f6e737472756374949394680c8c076e6461727261799493944b0085944301629487945294284b014b06859468118943303d81341aa762e43fed14472b6636d23f67a23f812e11b43f94d816a51c54d2bfe3fe9c65897ae8bf916ebfbfe67ef2bf947494628c085f705f7369676d6194682f68314b008594683387945294284b014b0285946811894310533299c72c90d7bf3476327539dbeabf947494628c035f706394682f68314b008594683387945294284b014b0285946811894310513df0108c3adabf46bf66d4f6e4edbf947494628c055f6d65616e94682f68314b008594683387945294284b014b028594681189431037a8345044b0dc3fb0dc10ce9373d83f947494628c055f635f316494682f68314b008594683387945294284b014b03859468118943188bf7145ad147ed3f310057cb8620c23f9901317545f9eb3f947494628c065f7369676d6194680b68114308c879afb1dca1c33f94869452948c025f44944e8c025f42944e8c075f626f756e647394682f68314b008594683387945294284b014b024b02869468118943200000000000000000000000000000f03f0000000000000000000000000000f03f947494628c115f6e5f6d61785f726573616d706c696e67944b148c025f67944b018c095f6c725f616461707494898c065f616c70686194473ff66666666666668c0a5f626574615f6d65616e94473fb999999999999a8c0b5f626574615f5369676d6194473f9eb851eb851eb88c065f67616d6d6194473fb999999999999a8c065f456d65616e94682f68314b008594683387945294284b014b024b018694681189431000000000000000000000000000000000947494628c075f455369676d6194682f68314b008594683387945294284b014b044b0186946811894,3200000000000000000000000000000000000000000000000000000000000000000947494628c065f566d65616e944700000000000000008c075f565369676d61944700000000000000008c095f6574615f6d65616e94473ff00000000000008c0a5f6574615f5369676d6194473ff00000000000008c055f746f6c7894680b6811430816383daccc74473d94869452948c075f746f6c787570944740c38800000000008c075f746f6c66756e94473d719799812dea118c105f746f6c636f6e646974696f6e636f76944742d6bcc41e9000008c0d5f66756e686973745f7465726d944b148c0f5f66756e686973745f76616c75657394682f68314b008594683387945294284b014b288594681189424001000000000000000000000000000000000000c2a664d6a4023540da2a2103323b6b400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000009474946275622e,6.0,small,0.0,COMPLETE
9,72.24488034322998,2024-08-18 00:04:48.972702,2024-08-18 00:05:18.001121,0 days 00:00:29.028419,0.40284648313153004,0.24815607583649296,1.0,0.0,0.0,0.0,,,6.0,small,0.0,COMPLETE
